date,ticker,doc_type,source,title,score,confidence,risk_flag,adjusted_score,effective_score,impact_horizon,summary
2025-01-28,NVDA,news,Synthetic,Cloud demand remains elevated,0.5,0.55,0.1,0.465,0.25575000000000003,immediate,"Large cloud customers continued expanding AI server orders, backlog stayed healthy, and supplier commentary suggested solid near-term demand."
2025-01-29,META,news,Synthetic,European ad practices face scrutiny,-1.0,0.95,0.85,-1.0,-0.95,short_term,"European regulators increased scrutiny of ad-targeting practices, raising the risk of compliance costs and a slower monetization ramp."
2025-01-30,AAPL,earnings,Synthetic,Services growth offsets hardware softness,0.25,0.95,0.1,0.215,0.20425,short_term,"Services revenue improved, free cash flow stayed strong, and management kept a stable outlook despite mixed hardware demand."
2025-02-11,AMZN,earnings,Synthetic,AWS reacceleration supports margin outlook,1.0,0.75,0.1,0.965,0.72375,short_term,"AWS growth reaccelerated, capex remained elevated for AI infrastructure, and management implied operating leverage could improve."
2025-02-14,JPM,news,Synthetic,Credit costs remain contained,0.25,0.44999999999999996,0.1,0.215,0.09674999999999999,short_term,Consumer credit metrics stayed manageable and management commentary pointed to resilient balance-sheet quality.
2025-02-20,XOM,news,Synthetic,Refining margins soften,-0.5,0.55,0.1,-0.535,-0.29425000000000007,short_term,Refining margins weakened and downstream profitability looked softer than the prior quarter.
2025-03-03,GOOGL,news,Synthetic,Search monetization stable but antitrust risk persists,-0.25,0.85,0.4,-0.39,-0.3315,short_term,"Core advertising trends remained stable, but ongoing antitrust actions could constrain distribution economics."
2025-03-05,MSFT,news,Synthetic,Enterprise AI demand supports backlog,1.0,0.75,0.1,0.965,0.72375,short_term,Enterprise demand for AI workloads supported backlog growth and management pointed to durable cloud spending.
2025-03-07,COST,earnings,Synthetic,Traffic and renewal trends stay healthy,0.75,0.65,0.1,0.715,0.46475,short_term,"Membership renewal trends held up well and customer traffic stayed firm, supporting defensive earnings quality."
2025-03-10,AVGO,earnings,Synthetic,Custom silicon momentum improves,0.75,0.65,0.1,0.715,0.46475,short_term,"Custom silicon demand improved, networking remained firm, and management described a constructive product cycle."
