date,ticker,horizon_bucket,score,confidence,risk_flag,adjusted_score,effective_score,summary,document_id,section_id,doc_type,source,title,form,section_type,items,source_url,company_name,accession_number
2026-03-11,COST,short_term,0.0,0.95,0.4,0.0,0.0,"Management's Discussion and Analysis of Financial Condition and Results of Operations (amounts in millions, except per share, share, percentages and warehouse count data) FORWARD-LOOKING STATEMENTS",0000909832-26-000029,0000909832-26-000029::mda,sec_section,SEC,10-Q MD&A,10-Q,mda,2,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,swing,0.0,0.95,0.4,0.0,0.0,"Management's Discussion and Analysis of Financial Condition and Results of Operations (amounts in millions, except per share, share, percentages and warehouse count data) FORWARD-LOOKING STATEMENTS",0000909832-26-000029,0000909832-26-000029::mda,sec_section,SEC,10-Q MD&A,10-Q,mda,2,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,long_term,0.0,0.95,0.4,0.0,0.0,"Management's Discussion and Analysis of Financial Condition and Results of Operations (amounts in millions, except per share, share, percentages and warehouse count data) FORWARD-LOOKING STATEMENTS",0000909832-26-000029,0000909832-26-000029::mda,sec_section,SEC,10-Q MD&A,10-Q,mda,2,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,short_term,0.0,0.35,0.1,0.0,0.0,"LIQUIDITY AND CAPITAL RESOURCES The following table summarizes our significant sources and uses of cash and cash equivalents: 24 Weeks Ended February 15, 2026 February",0000909832-26-000029,0000909832-26-000029::liquidity,sec_section,SEC,10-Q Liquidity and Capital Resources,10-Q,liquidity,2,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,swing,0.0,0.35,0.1,0.0,0.0,"LIQUIDITY AND CAPITAL RESOURCES The following table summarizes our significant sources and uses of cash and cash equivalents: 24 Weeks Ended February 15, 2026 February",0000909832-26-000029,0000909832-26-000029::liquidity,sec_section,SEC,10-Q Liquidity and Capital Resources,10-Q,liquidity,2,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,long_term,0.0,0.35,0.1,0.0,0.0,"LIQUIDITY AND CAPITAL RESOURCES The following table summarizes our significant sources and uses of cash and cash equivalents: 24 Weeks Ended February 15, 2026 February",0000909832-26-000029,0000909832-26-000029::liquidity,sec_section,SEC,10-Q Liquidity and Capital Resources,10-Q,liquidity,2,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,short_term,0.45,0.6699999999999999,0.1,0.4275,0.286425,We operate membership warehouses and e-commerce sites based on the concept that offering low prices on a limited selection of nationally-branded and private-label products in,0000909832-26-000029,0000909832-26-000029::forward_guidance,sec_section,SEC,10-Q Forward-Looking Guidance,10-Q,forward_guidance,2,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,swing,0.6,0.6699999999999999,0.1,0.57,0.3818999999999999,We operate membership warehouses and e-commerce sites based on the concept that offering low prices on a limited selection of nationally-branded and private-label products in,0000909832-26-000029,0000909832-26-000029::forward_guidance,sec_section,SEC,10-Q Forward-Looking Guidance,10-Q,forward_guidance,2,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,long_term,0.5,0.6699999999999999,0.1,0.475,0.31825,We operate membership warehouses and e-commerce sites based on the concept that offering low prices on a limited selection of nationally-branded and private-label products in,0000909832-26-000029,0000909832-26-000029::forward_guidance,sec_section,SEC,10-Q Forward-Looking Guidance,10-Q,forward_guidance,2,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,short_term,-0.13999999999999999,0.43,0.2,-0.126,-0.05418,"Item 1A-Risk Factors In addition to the other information set forth in the Quarterly Report on Form 10-Q, you should carefully consider the factors discussed",0000909832-26-000029,0000909832-26-000029::risk_factors,sec_section,SEC,10-Q Risk Factors,10-Q,risk_factors,1A,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,swing,-0.18000000000000002,0.43,0.2,-0.16200000000000003,-0.06966000000000001,"Item 1A-Risk Factors In addition to the other information set forth in the Quarterly Report on Form 10-Q, you should carefully consider the factors discussed",0000909832-26-000029,0000909832-26-000029::risk_factors,sec_section,SEC,10-Q Risk Factors,10-Q,risk_factors,1A,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
2026-03-11,COST,long_term,-0.22000000000000003,0.43,0.2,-0.19800000000000004,-0.08514000000000002,"Item 1A-Risk Factors In addition to the other information set forth in the Quarterly Report on Form 10-Q, you should carefully consider the factors discussed",0000909832-26-000029,0000909832-26-000029::risk_factors,sec_section,SEC,10-Q Risk Factors,10-Q,risk_factors,1A,https://www.sec.gov/Archives/edgar/data/909832/000090983226000029/cost-20260215.htm,COSTCO WHOLESALE CORP /NEW,0000909832-26-000029
